/var/spool/slurm/slurmd/job780239/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: LOADER_PSAo_1
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D_psao
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33267776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 0/1189] [ loss: 1.472000 ] ETA: 2 days, 3:23:23.381729
[Epoch 0/100] [Batch 1/1189] [ loss: 8.475925 ] ETA: 1 day, 16:21:32.268000
[Epoch 0/100] [Batch 25/1189] [ loss: 3.527233 ] ETA: 1 day, 21:41:37.981489
[Epoch 0/100] [Batch 26/1189] [ loss: 3.004665 ] ETA: 1 day, 17:52:54.844645
[Epoch 0/100] [Batch 27/1189] [ loss: 4.159950 ] ETA: 1 day, 22:06:54.773476
[Epoch 0/100] [Batch 28/1189] [ loss: 3.198995 ] ETA: 1 day, 7:27:57.201965
[Epoch 0/100] [Batch 29/1189] [ loss: 7.122693 ] ETA: 1 day, 12:18:58.561677
[Epoch 0/100] [Batch 30/1189] [ loss: 1.301589 ] ETA: 1 day, 16:55:20.835547
[Epoch 0/100] [Batch 31/1189] [ loss: 3.356356 ] ETA: 1 day, 20:13:15.630426
[Epoch 0/100] [Batch 32/1189] [ loss: 1.687682 ] ETA: 1 day, 23:25:32.975445
[Epoch 0/100] [Batch 33/1189] [ loss: 7.410752 ] ETA: 1 day, 14:11:47.163130
[Epoch 0/100] [Batch 34/1189] [ loss: 9.733467 ] ETA: 1 day, 19:21:52.344872
[Epoch 0/100] [Batch 35/1189] [ loss: 3.755750 ] ETA: 1 day, 16:31:02.091378
[Epoch 0/100] [Batch 36/1189] [ loss: 10.525254 ] ETA: 1 day, 12:48:57.838757
[Epoch 0/100] [Batch 37/1189] [ loss: 9.938959 ] ETA: 1 day, 20:16:54.959890
[Epoch 0/100] [Batch 38/1189] [ loss: 1.418849 ] ETA: 1 day, 19:09:52.865956
[Epoch 0/100] [Batch 39/1189] [ loss: 11.164190 ] ETA: 1 day, 20:37:59.384544
[Epoch 0/100] [Batch 40/1189] [ loss: 4.747940 ] ETA: 1 day, 16:16:05.448861
[Epoch 0/100] [Batch 41/1189] [ loss: 7.469076 ] ETA: 1 day, 15:46:20.821673
[Epoch 0/100] [Batch 42/1189] [ loss: 3.980399 ] ETA: 1 day, 18:41:53.458530
[Epoch 0/100] [Batch 43/1189] [ loss: 5.448710 ] ETA: 1 day, 21:11:09.547613
[Epoch 0/100] [Batch 44/1189] [ loss: 9.261722 ] ETA: 1 day, 6:25:30.305805
[Epoch 0/100] [Batch 45/1189] [ loss: 13.234243 ] ETA: 1 day, 9:24:30.076765
[Epoch 0/100] [Batch 46/1189] [ loss: 1.752473 ] ETA: 1 day, 17:16:42.637882
[Epoch 0/100] [Batch 47/1189] [ loss: 1.528713 ] ETA: 1 day, 12:43:38.147796
[Epoch 0/100] [Batch 48/1189] [ loss: 20.548571 ] ETA: 1 day, 13:18:47.936436
[Epoch 0/100] [Batch 49/1189] [ loss: 2.557370 ] ETA: 1 day, 20:46:25.865479
[Epoch 0/100] [Batch 50/1189] [ loss: 2.086475 ] ETA: 2 days, 0:46:07.887306
[Epoch 0/100] [Batch 51/1189] [ loss: 1.298508 ] ETA: 1 day, 10:47:01.298566
[Epoch 0/100] [Batch 52/1189] [ loss: 4.359493 ] ETA: 1 day, 14:45:36.480652
[Epoch 0/100] [Batch 53/1189] [ loss: 3.855948 ] ETA: 1 day, 5:46:06.835767
[Epoch 0/100] [Batch 54/1189] [ loss: 1.257600 ] ETA: 1 day, 17:48:31.403108
[Epoch 0/100] [Batch 55/1189] [ loss: 2.892740 ] ETA: 1 day, 18:57:29.320772
[Epoch 0/100] [Batch 56/1189] [ loss: 2.359486 ] ETA: 1 day, 17:48:25.385069
[Epoch 0/100] [Batch 57/1189] [ loss: 1.445815 ] ETA: 1 day, 9:02:43.619452
[Epoch 0/100] [Batch 58/1189] [ loss: 4.254356 ] ETA: 1 day, 20:40:05.910855
[Epoch 0/100] [Batch 59/1189] [ loss: 1.361713 ] ETA: 1 day, 16:31:43.135152
[Epoch 0/100] [Batch 60/1189] [ loss: 13.216842 ] ETA: 1 day, 10:32:23.474216
[Epoch 0/100] [Batch 61/1189] [ loss: 1.519814 ] ETA: 1 day, 16:33:50.956808
[Epoch 0/100] [Batch 62/1189] [ loss: 11.133562 ] ETA: 1 day, 9:49:54.199743
[Epoch 0/100] [Batch 63/1189] [ loss: 8.271905 ] ETA: 1 day, 16:37:55.307497
[Epoch 0/100] [Batch 64/1189] [ loss: 4.164957 ] ETA: 1 day, 11:44:46.603374
[Epoch 0/100] [Batch 65/1189] [ loss: 2.991874 ] ETA: 1 day, 17:13:00.271637
[Epoch 0/100] [Batch 66/1189] [ loss: 5.487105 ] ETA: 1 day, 17:12:14.258084
[Epoch 0/100] [Batch 67/1189] [ loss: 1.245294 ] ETA: 1 day, 8:48:34.755594
[Epoch 0/100] [Batch 68/1189] [ loss: 2.511077 ] ETA: 1 day, 13:15:30.751915
[Epoch 0/100] [Batch 69/1189] [ loss: 3.600120 ] ETA: 1 day, 9:35:59.405303
[Epoch 0/100] [Batch 70/1189] [ loss: 5.629878 ] ETA: 8 days, 15:59:09.600592
[Epoch 0/100] [Batch 71/1189] [ loss: 4.983378 ] ETA: 1 day, 20:28:53.476778
[Epoch 0/100] [Batch 72/1189] [ loss: 3.479346 ] ETA: 1 day, 6:45:50.264811
[Epoch 0/100] [Batch 73/1189] [ loss: 4.592267 ] ETA: 1 day, 5:55:21.475378
[Epoch 0/100] [Batch 74/1189] [ loss: 5.588129 ] ETA: 1 day, 14:20:42.601832
[Epoch 0/100] [Batch 75/1189] [ loss: 0.853597 ] ETA: 1 day, 9:30:50.760829
[Epoch 0/100] [Batch 76/1189] [ loss: 2.983785 ] ETA: 1 day, 15:20:39.472418
[Epoch 0/100] [Batch 77/1189] [ loss: 2.802968 ] ETA: 1 day, 15:40:11.749547
[Epoch 0/100] [Batch 78/1189] [ loss: 2.081853 ] ETA: 1 day, 8:09:37.499006
[Epoch 0/100] [Batch 79/1189] [ loss: 2.314988 ] ETA: 1 day, 8:37:47.745599
[Epoch 0/100] [Batch 80/1189] [ loss: 4.059968 ] ETA: 1 day, 10:17:26.023660
[Epoch 0/100] [Batch 81/1189] [ loss: 2.461197 ] ETA: 1 day, 17:19:36.186664
[Epoch 0/100] [Batch 82/1189] [ loss: 2.213731 ] ETA: 1 day, 21:05:19.176461
[Epoch 0/100] [Batch 83/1189] [ loss: 4.765864 ] ETA: 1 day, 8:59:03.601685
[Epoch 0/100] [Batch 84/1189] [ loss: 2.539641 ] ETA: 1 day, 4:03:05.118614
[Epoch 0/100] [Batch 85/1189] [ loss: 3.205904 ] ETA: 1 day, 11:56:05.143261
[Epoch 0/100] [Batch 86/1189] [ loss: 3.151902 ] ETA: 1 day, 7:16:59.888163
[Epoch 0/100] [Batch 87/1189] [ loss: 1.816928 ] ETA: 1 day, 17:00:01.507197
[Epoch 0/100] [Batch 88/1189] [ loss: 5.549067 ] ETA: 1 day, 14:36:44.581956
[Epoch 0/100] [Batch 89/1189] [ loss: 1.086790 ] ETA: 1 day, 13:00:54.894704
[Epoch 0/100] [Batch 90/1189] [ loss: 7.610949 ] ETA: 1 day, 9:04:37.062349
[Epoch 0/100] [Batch 91/1189] [ loss: 1.234849 ] ETA: 1 day, 13:21:32.492531
[Epoch 0/100] [Batch 92/1189] [ loss: 8.669263 ] ETA: 1 day, 7:30:00.616657
[Epoch 0/100] [Batch 93/1189] [ loss: 6.655094 ] ETA: 1 day, 17:18:33.687135
[Epoch 0/100] [Batch 94/1189] [ loss: 1.916625 ] ETA: 1 day, 14:34:10.212680
[Epoch 0/100] [Batch 95/1189] [ loss: 1.765918 ] ETA: 1 day, 3:27:25.110557
[Epoch 0/100] [Batch 96/1189] [ loss: 2.301088 ] ETA: 1 day, 21:47:02.087712
[Epoch 0/100] [Batch 97/1189] [ loss: 1.707345 ] ETA: 1 day, 4:20:39.508491
[Epoch 0/100] [Batch 98/1189] [ loss: 4.222537 ] ETA: 1 day, 13:11:32.810862
[Epoch 0/100] [Batch 99/1189] [ loss: 3.754350 ] ETA: 1 day, 12:49:20.013788
[Epoch 0/100] [Batch 100/1189] [ loss: 2.517715 ] ETA: 1 day, 6:10:20.506954
[Epoch 0/100] [Batch 101/1189] [ loss: 8.015345 ] ETA: 1 day, 13:53:42.010303
[Epoch 0/100] [Batch 102/1189] [ loss: 4.413361 ] ETA: 1 day, 10:02:21.763457
[Epoch 0/100] [Batch 103/1189] [ loss: 2.307388 ] ETA: 1 day, 6:57:01.441913
[Epoch 0/100] [Batch 104/1189] [ loss: 0.943330 ] ETA: 1 day, 14:19:23.452773
[Epoch 0/100] [Batch 105/1189] [ loss: 1.530374 ] ETA: 1 day, 10:02:23.172263
[Epoch 0/100] [Batch 106/1189] [ loss: 4.905156 ] ETA: 1 day, 10:54:08.432470
[Epoch 0/100] [Batch 107/1189] [ loss: 9.158876 ] ETA: 1 day, 21:19:57.148329
[Epoch 0/100] [Batch 108/1189] [ loss: 6.920076 ] ETA: 1 day, 14:38:23.308287
[Epoch 0/100] [Batch 109/1189] [ loss: 8.601480 ] ETA: 1 day, 18:21:18.637456
[Epoch 0/100] [Batch 110/1189] [ loss: 5.396212 ] ETA: 1 day, 8:37:17.608449
[Epoch 0/100] [Batch 111/1189] [ loss: 3.281236 ] ETA: 1 day, 9:03:28.548304
[Epoch 0/100] [Batch 112/1189] [ loss: 2.219944 ] ETA: 1 day, 11:25:26.470036
[Epoch 0/100] [Batch 113/1189] [ loss: 4.374054 ] ETA: 1 day, 10:52:15.985877
[Epoch 0/100] [Batch 114/1189] [ loss: 5.109023 ] ETA: 1 day, 14:42:55.270490
[Epoch 0/100] [Batch 115/1189] [ loss: 6.415375 ] ETA: 1 day, 20:23:19.473213
[Epoch 0/100] [Batch 116/1189] [ loss: 3.513005 ] ETA: 1 day, 16:33:03.875977
[Epoch 0/100] [Batch 117/1189] [ loss: 1.309530 ] ETA: 1 day, 19:34:50.576644
[Epoch 0/100] [Batch 118/1189] [ loss: 4.149012 ] ETA: 1 day, 11:11:18.193219
[Epoch 0/100] [Batch 119/1189] [ loss: 4.496890 ] ETA: 1 day, 9:24:56.664845
[Epoch 0/100] [Batch 120/1189] [ loss: 1.348434 ] ETA: 1 day, 16:07:00.545716
[Epoch 0/100] [Batch 121/1189] [ loss: 6.144238 ] ETA: 1 day, 18:21:19.999326
[Epoch 0/100] [Batch 122/1189] [ loss: 5.116009 ] ETA: 1 day, 14:45:30.076721
[Epoch 0/100] [Batch 123/1189] [ loss: 2.985654 ] ETA: 1 day, 6:40:20.451469
[Epoch 0/100] [Batch 124/1189] [ loss: 1.717900 ] ETA: 1 day, 11:27:54.577406
[Epoch 0/100] [Batch 125/1189] [ loss: 3.154543 ] ETA: 1 day, 20:39:24.328086
[Epoch 0/100] [Batch 126/1189] [ loss: 8.059275 ] ETA: 1 day, 8:16:23.730779
[Epoch 0/100] [Batch 127/1189] [ loss: 5.186791 ] ETA: 1 day, 10:08:44.005209
[Epoch 0/100] [Batch 128/1189] [ loss: 6.955622 ] ETA: 1 day, 11:01:48.995043
[Epoch 0/100] [Batch 129/1189] [ loss: 2.669842 ] ETA: 1 day, 15:55:48.509268
[Epoch 0/100] [Batch 130/1189] [ loss: 1.738478 ] ETA: 1 day, 14:29:27.246480
[Epoch 0/100] [Batch 131/1189] [ loss: 2.412660 ] ETA: 1 day, 12:34:22.317920
[Epoch 0/100] [Batch 132/1189] [ loss: 3.083534 ] ETA: 1 day, 14:55:21.867424
[Epoch 0/100] [Batch 133/1189] [ loss: 2.535186 ] ETA: 1 day, 17:08:36.009996
[Epoch 0/100] [Batch 134/1189] [ loss: 1.580658 ] ETA: 1 day, 17:59:08.428104
[Epoch 0/100] [Batch 135/1189] [ loss: 4.376209 ] ETA: 1 day, 15:01:31.020370
[Epoch 0/100] [Batch 136/1189] [ loss: 2.591565 ] ETA: 1 day, 8:05:28.552666
[Epoch 0/100] [Batch 137/1189] [ loss: 4.137558 ] ETA: 1 day, 9:37:47.497786
[Epoch 0/100] [Batch 138/1189] [ loss: 4.985066 ] ETA: 1 day, 18:20:04.971928
[Epoch 0/100] [Batch 139/1189] [ loss: 1.429521 ] ETA: 1 day, 3:03:09.391889
[Epoch 0/100] [Batch 140/1189] [ loss: 3.777630 ] ETA: 1 day, 20:15:12.213078
[Epoch 0/100] [Batch 141/1189] [ loss: 3.419475 ] ETA: 1 day, 9:54:15.668322
[Epoch 0/100] [Batch 142/1189] [ loss: 1.474992 ] ETA: 1 day, 11:39:32.878388
[Epoch 0/100] [Batch 143/1189] [ loss: 4.716818 ] ETA: 1 day, 16:39:44.999886
[Epoch 0/100] [Batch 144/1189] [ loss: 2.099662 ] ETA: 1 day, 6:40:57.103178
[Epoch 0/100] [Batch 145/1189] [ loss: 1.289916 ] ETA: 1 day, 19:30:30.399256
[Epoch 0/100] [Batch 146/1189] [ loss: 2.745070 ] ETA: 1 day, 8:28:58.022234
[Epoch 0/100] [Batch 147/1189] [ loss: 2.371227 ] ETA: 1 day, 17:38:18.799200
[Epoch 0/100] [Batch 148/1189] [ loss: 3.210736 ] ETA: 1 day, 15:25:25.364868
[Epoch 0/100] [Batch 149/1189] [ loss: 3.685162 ] ETA: 1 day, 15:13:55.384573
[Epoch 0/100] [Batch 150/1189] [ loss: 6.770198 ] ETA: 1 day, 6:42:55.076938
[Epoch 0/100] [Batch 151/1189] [ loss: 3.539234 ] ETA: 1 day, 13:38:55.194050
[Epoch 0/100] [Batch 152/1189] [ loss: 3.177841 ] ETA: 1 day, 6:41:35.555547
[Epoch 0/100] [Batch 153/1189] [ loss: 2.941413 ] ETA: 1 day, 16:19:14.146881
[Epoch 0/100] [Batch 154/1189] [ loss: 1.631175 ] ETA: 1 day, 16:38:19.558541
[Epoch 0/100] [Batch 155/1189] [ loss: 1.743312 ] ETA: 1 day, 10:44:15.723237
[Epoch 0/100] [Batch 156/1189] [ loss: 1.832369 ] ETA: 1 day, 16:02:53.899527
[Epoch 0/100] [Batch 157/1189] [ loss: 2.787542 ] ETA: 1 day, 7:13:10.115421
[Epoch 0/100] [Batch 158/1189] [ loss: 1.301699 ] ETA: 1 day, 11:08:42.774245
[Epoch 0/100] [Batch 159/1189] [ loss: 1.450115 ] ETA: 1 day, 7:46:21.590404
[Epoch 0/100] [Batch 160/1189] [ loss: 2.868213 ] ETA: 1 day, 9:46:15.738258
[Epoch 0/100] [Batch 161/1189] [ loss: 1.961306 ] ETA: 2 days, 2:29:24.088229
[Epoch 0/100] [Batch 162/1189] [ loss: 1.556105 ] ETA: 1 day, 14:12:33.013656
[Epoch 0/100] [Batch 163/1189] [ loss: 2.459158 ] ETA: 1 day, 10:53:01.547539
[Epoch 0/100] [Batch 164/1189] [ loss: 1.210818 ] ETA: 1 day, 18:31:08.938988
[Epoch 0/100] [Batch 165/1189] [ loss: 4.166923 ] ETA: 1 day, 14:42:28.183705
[Epoch 0/100] [Batch 166/1189] [ loss: 2.285767 ] ETA: 1 day, 13:04:14.448542
[Epoch 0/100] [Batch 167/1189] [ loss: 2.260784 ] ETA: 1 day, 17:00:58.412432
[Epoch 0/100] [Batch 168/1189] [ loss: 2.954320 ] ETA: 1 day, 5:40:47.884468
[Epoch 0/100] [Batch 169/1189] [ loss: 3.456572 ] ETA: 1 day, 2:40:02.257148
[Epoch 0/100] [Batch 170/1189] [ loss: 3.437284 ] ETA: 2 days, 0:34:16.657412
[Epoch 0/100] [Batch 171/1189] [ loss: 0.848007 ] ETA: 1 day, 18:24:53.619751
[Epoch 0/100] [Batch 172/1189] [ loss: 1.370996 ] ETA: 1 day, 17:22:45.609032
[Epoch 0/100] [Batch 173/1189] [ loss: 2.494777 ] ETA: 1 day, 10:17:10.190274
[Epoch 0/100] [Batch 174/1189] [ loss: 1.178921 ] ETA: 1 day, 9:38:03.222474
[Epoch 0/100] [Batch 175/1189] [ loss: 4.111726 ] ETA: 1 day, 6:05:35.305703
[Epoch 0/100] [Batch 176/1189] [ loss: 5.307454 ] ETA: 1 day, 19:37:16.180996
[Epoch 0/100] [Batch 177/1189] [ loss: 3.972733 ] ETA: 1 day, 17:40:06.592474
[Epoch 0/100] [Batch 178/1189] [ loss: 5.039865 ] ETA: 1 day, 10:02:10.197774
[Epoch 0/100] [Batch 179/1189] [ loss: 3.866593 ] ETA: 1 day, 13:08:56.646116
[Epoch 0/100] [Batch 180/1189] [ loss: 3.640260 ] ETA: 1 day, 8:53:23.040009
[Epoch 0/100] [Batch 181/1189] [ loss: 2.425420 ] ETA: 1 day, 10:52:45.425333
[Epoch 0/100] [Batch 182/1189] [ loss: 2.197615 ] ETA: 1 day, 10:49:17.885775
[Epoch 0/100] [Batch 183/1189] [ loss: 4.715350 ] ETA: 1 day, 12:04:48.948823
[Epoch 0/100] [Batch 184/1189] [ loss: 9.321805 ] ETA: 1 day, 12:16:37.070552
[Epoch 0/100] [Batch 185/1189] [ loss: 5.643647 ] ETA: 1 day, 10:13:37.323571
[Epoch 0/100] [Batch 186/1189] [ loss: 1.516022 ] ETA: 1 day, 9:13:35.696828
[Epoch 0/100] [Batch 187/1189] [ loss: 3.108278 ] ETA: 1 day, 7:30:20.323653
[Epoch 0/100] [Batch 188/1189] [ loss: 3.096572 ] ETA: 1 day, 10:11:39.808477
[Epoch 0/100] [Batch 189/1189] [ loss: 3.458453 ] ETA: 1 day, 11:51:53.365877
[Epoch 0/100] [Batch 190/1189] [ loss: 2.531140 ] ETA: 1 day, 11:20:29.584672
[Epoch 0/100] [Batch 191/1189] [ loss: 1.623474 ] ETA: 1 day, 15:18:38.948116
[Epoch 0/100] [Batch 192/1189] [ loss: 2.380019 ] ETA: 1 day, 10:54:03.395714
[Epoch 0/100] [Batch 193/1189] [ loss: 1.945288 ] ETA: 1 day, 9:07:11.152193
[Epoch 0/100] [Batch 194/1189] [ loss: 4.392941 ] ETA: 1 day, 7:26:27.872952
[Epoch 0/100] [Batch 195/1189] [ loss: 2.289264 ] ETA: 1 day, 11:45:10.194905
[Epoch 0/100] [Batch 196/1189] [ loss: 2.421082 ] ETA: 1 day, 15:04:11.214638
[Epoch 0/100] [Batch 197/1189] [ loss: 4.297423 ] ETA: 1 day, 9:11:18.787028
[Epoch 0/100] [Batch 198/1189] [ loss: 3.716846 ] ETA: 1 day, 13:34:55.925496
[Epoch 0/100] [Batch 199/1189] [ loss: 1.659225 ] ETA: 1 day, 11:28:13.831030
[Epoch 0/100] [Batch 200/1189] [ loss: 1.215283 ] ETA: 1 day, 7:27:42.241673
[Epoch 0/100] [Batch 201/1189] [ loss: 1.378540 ] ETA: 1 day, 17:55:28.168835
[Epoch 0/100] [Batch 202/1189] [ loss: 1.428601 ] ETA: 1 day, 6:35:25.846506
[Epoch 0/100] [Batch 203/1189] [ loss: 1.416035 ] ETA: 1 day, 12:20:03.301386
[Epoch 0/100] [Batch 204/1189] [ loss: 2.395105 ] ETA: 1 day, 8:59:02.722197
[Epoch 0/100] [Batch 205/1189] [ loss: 4.488538 ] ETA: 1 day, 7:21:13.565229
[Epoch 0/100] [Batch 206/1189] [ loss: 2.578289 ] ETA: 1 day, 13:11:25.730835
[Epoch 0/100] [Batch 207/1189] [ loss: 2.506480 ] ETA: 1 day, 8:52:03.476667
[Epoch 0/100] [Batch 208/1189] [ loss: 2.282770 ] ETA: 1 day, 10:47:48.514747
[Epoch 0/100] [Batch 209/1189] [ loss: 1.533859 ] ETA: 1 day, 10:22:32.971207
[Epoch 0/100] [Batch 210/1189] [ loss: 2.874160 ] ETA: 1 day, 12:53:41.377580
[Epoch 0/100] [Batch 211/1189] [ loss: 2.502964 ] ETA: 1 day, 8:02:59.248771
[Epoch 0/100] [Batch 212/1189] [ loss: 1.407997 ] ETA: 1 day, 12:57:24.585037
[Epoch 0/100] [Batch 213/1189] [ loss: 1.362834 ] ETA: 1 day, 15:17:28.775284
[Epoch 0/100] [Batch 214/1189] [ loss: 1.777360 ] ETA: 1 day, 9:53:17.421982
[Epoch 0/100] [Batch 215/1189] [ loss: 1.633843 ] ETA: 1 day, 16:22:42.882632
[Epoch 0/100] [Batch 216/1189] [ loss: 1.896282 ] ETA: 1 day, 8:01:43.533838
[Epoch 0/100] [Batch 217/1189] [ loss: 2.088984 ] ETA: 1 day, 7:33:08.037018
[Epoch 0/100] [Batch 218/1189] [ loss: 1.242146 ] ETA: 1 day, 8:29:54.426929
[Epoch 0/100] [Batch 219/1189] [ loss: 2.789520 ] ETA: 1 day, 15:29:15.385035
[Epoch 0/100] [Batch 220/1189] [ loss: 1.983841 ] ETA: 1 day, 2:06:53.185015
[Epoch 0/100] [Batch 221/1189] [ loss: 2.296931 ] ETA: 1 day, 11:48:43.277303
[Epoch 0/100] [Batch 222/1189] [ loss: 1.362165 ] ETA: 1 day, 10:21:03.076760
[Epoch 0/100] [Batch 223/1189] [ loss: 2.256918 ] ETA: 1 day, 11:49:54.954098
[Epoch 0/100] [Batch 224/1189] [ loss: 3.827386 ] ETA: 1 day, 9:32:14.797309
[Epoch 0/100] [Batch 225/1189] [ loss: 1.842960 ] ETA: 1 day, 13:38:25.369854
[Epoch 0/100] [Batch 226/1189] [ loss: 1.545504 ] ETA: 1 day, 5:29:27.334728
[Epoch 0/100] [Batch 227/1189] [ loss: 1.469522 ] ETA: 1 day, 12:50:17.057128
[Epoch 0/100] [Batch 228/1189] [ loss: 1.502290 ] ETA: 1 day, 9:54:23.753040
[Epoch 0/100] [Batch 229/1189] [ loss: 2.812035 ] ETA: 1 day, 10:08:58.404298
[Epoch 0/100] [Batch 230/1189] [ loss: 2.626486 ] ETA: 1 day, 7:04:22.842011
[Epoch 0/100] [Batch 231/1189] [ loss: 2.257331 ] ETA: 1 day, 11:27:34.568614
[Epoch 0/100] [Batch 232/1189] [ loss: 1.902760 ] ETA: 1 day, 13:55:27.965406
[Epoch 0/100] [Batch 233/1189] [ loss: 1.289662 ] ETA: 1 day, 14:44:50.954902
[Epoch 0/100] [Batch 234/1189] [ loss: 1.462504 ] ETA: 1 day, 5:55:37.212178
[Epoch 0/100] [Batch 235/1189] [ loss: 1.337174 ] ETA: 1 day, 10:31:24.288676
[Epoch 0/100] [Batch 236/1189] [ loss: 1.618099 ] ETA: 1 day, 13:02:17.067007
[Epoch 0/100] [Batch 237/1189] [ loss: 3.426415 ] ETA: 1 day, 18:32:12.697145
[Epoch 0/100] [Batch 238/1189] [ loss: 1.644772 ] ETA: 1 day, 1:04:51.898630
[Epoch 0/100] [Batch 239/1189] [ loss: 3.404898 ] ETA: 1 day, 3:09:00.296049
[Epoch 0/100] [Batch 240/1189] [ loss: 1.381687 ] ETA: 1 day, 8:01:50.290494
[Epoch 0/100] [Batch 241/1189] [ loss: 1.514148 ] ETA: 1 day, 12:25:57.634234
[Epoch 0/100] [Batch 242/1189] [ loss: 2.724073 ] ETA: 1 day, 10:42:29.756439
[Epoch 0/100] [Batch 243/1189] [ loss: 3.832401 ] ETA: 1 day, 8:42:20.120019
[Epoch 0/100] [Batch 244/1189] [ loss: 2.463016 ] ETA: 1 day, 2:34:55.012299
[Epoch 0/100] [Batch 245/1189] [ loss: 2.584586 ] ETA: 1 day, 2:58:27.099417
[Epoch 0/100] [Batch 246/1189] [ loss: 2.124806 ] ETA: 1 day, 9:06:05.301135
[Epoch 0/100] [Batch 247/1189] [ loss: 3.487488 ] ETA: 1 day, 12:28:54.598367
[Epoch 0/100] [Batch 248/1189] [ loss: 1.490282 ] ETA: 1 day, 14:41:33.914837
[Epoch 0/100] [Batch 249/1189] [ loss: 1.430041 ] ETA: 1 day, 16:27:19.090891
[Epoch 0/100] [Batch 250/1189] [ loss: 1.380619 ] ETA: 1 day, 12:23:28.818662
